slug	name	date	event	opponent	methodRaw	promotion
riko-vahoben	リコ・ヴァーホーベン	2006-05-27	No Guts No Glory	ハンス・クルーズ	判定	GLORY
riko-vahoben	リコ・ヴァーホーベン	2006-04-09	K.O.C. III	リドウアン・アブデルラウイ	3R終了 判定	Wikipedia(その他団体)
riko-vahoben	リコ・ヴァーホーベン	2005-11-26	Gala in Roosendaal	ステイン・ファン・タテンホーブ	3R終了 判定	Wikipedia(その他団体)
riko-vahoben	リコ・ヴァーホーベン	2005-10-16	Gala in Goes,Zeeland	アルバート・ロメオ	KO	Wikipedia(その他団体)
riko-vahoben	リコ・ヴァーホーベン	2005-05-29	FFE Gala in Zonnehuis	サンダー・ダイビス	判定	Wikipedia(その他団体)
riko-vahoben	リコ・ヴァーホーベン	2005-04-30	IMPACT Roosendaal	ウィルバート・ダム	2R 1:56 KO	Wikipedia(その他団体)
shoma-okumura	奥村将真	2025-10-24	ONE Friday Fights 130	アルフィー・リンチ	TKO	ONE Championship
shohei-asahara	麻原将平	2020-01-13	MUSASHI ROCK FESTIVAL2020	ピエトロ・ドゥリャ	3R判定	RISE
takuya	T-98	2020-01-13	MUSASHI ROCK FESTIVAL2020	イリアス・ボカユア	3R 判定	RISE
shohei-asahara	麻原将平	2009-09-28	Survivor　Rounde.1	サクサノーイ・ソージャティップ	3R終了 判定2-0	Wikipedia(その他団体)
shohei-asahara	麻原将平	2008-11-30	RISING ROOKIES	後藤勝也	3R終了 判定2-0	Wikipedia(その他団体)
hashimoto-futa	橋本 楓汰	2022-01-30	静岡kick	下地奏人	判定2-0	Wikipedia(その他団体)
motoyasu	基康	2024-07-28	KICK Insist19 KUNIMASA NAGAE MEMORIAL	ジェット・ペッマニー	3R 判定	RISE
motoyasu	基康	2023-01-29	CHALLENGER 7	ネートパヤック・ピークマイレストラン	5R 判定	RISE
motoyasu	基康	2022-11-20	KICK Insist 14	シュートン・ヨーユットムエタイジム	3R 判定	RISE
motoyasu	基康	2022-09-18	Challenger 6	ダーンチョン・アーヨンムエタイ	2R KO	RISE
asai-haruka	浅井春香	2022-09-18	Challenger 6	北川 柚	3R 判定	RISE
motoyasu	基康	2022-07-17	KICK Insist 13	小原俊之	3R 判定	RISE
motoyasu	基康	2022-05-01	Challenger 5	北野克樹	5R 判定	RISE
degai-taisuke	出貝泰佑	2012-06-03	K-SPIRIT 2 日韓インターナショナルタイトルマッチ	カズ☆仲村渠	判定	Bigbang
degai-taisuke	出貝泰佑	2011-04-10	M-1 FAIRTEX ムエタイチャレンジ『RAORAK MUAY vol,1』	鷹大	判定	Bigbang
degai-taisuke	出貝泰佑	2010-12-19	REBELS.5	炎出丸	引分	Bigbang
iida-nao	飯田なお	2010-12-19	REBELS.5	YUKI	2分3R終了 判定3-0	Wikipedia(その他団体)
degai-taisuke	出貝泰佑	2010-09-23	REBELS.4	キョウヘイ	KO	Bigbang
degai-taisuke	出貝泰佑	2009-09-28	Survivor Rounde.1	KENJI	判定	Bigbang
degai-taisuke	出貝泰佑	2009-08-15	宇都宮蹴拳伝 vol.3 ～Challenge of UTSUNOMIYA’s fighter～	須藤 稔也	判定	Bigbang
degai-taisuke	出貝泰佑	2008-11-30	RISE RISING ROOKIES	梅原タカユキ	判定	Bigbang
degai-taisuke	出貝泰佑	2008-06-15	DEEP GLOVE 2	清水 雄介	判定	Bigbang
degai-taisuke	出貝泰佑	2008-01-13	BUNGELING BAY 縁 ～enishi～	友麻	KO	Bigbang
degai-taisuke	出貝泰佑	2006-12-03	トライアルリーグ8	一戸 総太	判定	Bigbang
degai-taisuke	出貝泰佑	2006-02-11	TRIBELATEVol. 9 ～Hybrid Club Fight～	リョウ・ペタス	判定	Bigbang
degai-taisuke	出貝泰佑	2005-12-18	全日本キック TRIALKEAGUE,4	リポビタンD	判定	Bigbang
yaman	YA-MAN	2024-12-31	RIZIN.49	カルシャガ･ダウトベック	3R 判定	RISE
bazooka-koki	バズーカ巧樹	2024-03-08	ONE Friday Fights 54	ノンタキット・トー・モースィー	ユナニマス判定	ONE Championship
sameshima-hiroto	鮫島 大翔	2024-03-08	ONE Friday Fights 54	ペットランプン	ノックアウト	ONE Championship
kenshi	拳志	2022-12-18	BEAST	網島晴都	3R 判定	RISE
kenshi	拳志	2022-02-12	KPKB vol.5	梅原祥太	1R KO	RISE
kenshi	拳志	2021-12-19	Eruption in 薩摩 2021	MEGUMI	3R 判定	RISE
denisu-pyuriku	デニス・ピューリック	2024-06-07	ONE 167: Tawanchai vs. Nattawut II	ロッタン・ジットムアンノン	ユナニマス判定	ONE Championship
noiri-masaaki	野杁正明	2024-06-07	ONE 167: Tawanchai vs. Nattawut II	シッティチャイ・シッソンピーノン	ユナニマス判定	ONE Championship
denisu-pyuriku	デニス・ピューリック	2024-04-05	ONE Fight Night 21: Eersel vs. Nicolas	ジェイコブ・スミス	ユナニマス判定	ONE Championship
naito-taiki	内藤 大樹	2024-04-05	ONE Fight Night 21: Eersel vs. Nicolas	デッドゥアンレック	ユナニマス判定	ONE Championship
denisu-pyuriku	デニス・ピューリック	2023-12-08	ONE Fight Night 17: Kryklia vs. Roberts	ニューイェン・トラン・デュイ・ニャット	ノックアウト	ONE Championship
denisu-pyuriku	デニス・ピューリック	2023-12-08	ONE Fight Night 17: Kryklia vs. Roberts	ニューイェン・トラン・ドュイ・ニャット	2R 1:35 KO	ONE Championship
denisu-pyuriku	デニス・ピューリック	2023-05-19	ONE Friday Fights 17	ヨードレックペット・オー・アトチャリア	3R 2:07 TKO	ONE Championship
denisu-pyuriku	デニス・ピューリック	2022-10-21	ONE 162: Zhang vs. Di Bella	タギール・カリロフ	3R終了 判定3-0	ONE Championship
denisu-pyuriku	デニス・ピューリック	2022-05-20	ONE 157: Petchmorakot vs. Vienot	シャーゾット・カブトフ	3R終了 判定0-3	ONE Championship
naito-taiki	内藤 大樹	2022-05-20	ONE 157: Petchmorakot vs. Vienot	スーパーレック・キアトモー9	3R 判定	SHOOT BOXING
denisu-pyuriku	デニス・ピューリック	None	ONE Fight Fight 26	エリアス・マムーディ	ノーコンテスト	ONE Championship
achi	ACHI	2014-03-16	BOUT-16	工藤公邦	3R 判定	RISE
achi	ACHI	2012-08-08	“湯都論剣”世界格闘王者争覇戦	ウェイ・ルイ	2R KO	RISE
kamimura-erika	神村エリカ	2012-12-02	RISE/M-1 MC 〜INFINITY〜	ローマ・ルックブンミー	3R 1:21 KO（左ストレート）	RISE
kamimura-erika	神村エリカ	2011-08-19	シュートボクシング・ガールズトーナメント Girls S-cup2011	ハム・ソヒ	2分3R終了 判定3-0	SHOOT BOXING
kamimura-erika	神村エリカ	2011-08-19	シュートボクシング・ガールズトーナメント Girls S-cup2011	吉田実代	1R 0:50 KO（2ダウン：左フック）	SHOOT BOXING
kamimura-erika	神村エリカ	2011-08-19	シュートボクシング・ガールズトーナメント Girls S-cup2011	岡加奈子	2R 0:31 KO（2ダウン）	SHOOT BOXING
miyo-yoshida	吉田実代	2011-08-19	シュートボクシング・ガールズトーナメント Girls S-cup2011	神村エリカ	1R 0:50 KO（2ダウン：左フック）	SHOOT BOXING
miyo-yoshida	吉田実代	2011-08-19	シュートボクシング・ガールズトーナメント Girls S-cup2011	WINDY智美	2分3R終了 判定2-0	SHOOT BOXING
kamimura-erika	神村エリカ	2010-11-14	M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.4」	ナムワン・シッヂャンチャイ	1R 1:48 KO（右ボディ）	Wikipedia(その他団体)
kamimura-erika	神村エリカ	2010-03-21	M-1 FAIRTEX SINGHA BEER ムエタイチャレンジ「NAI KANOMTOM vol.1」	トーンター・シットソーコーカムロン	3分3R終了 判定3-0	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2024-06-30	KNUCKLE'S 16	金枝勇気	2R 1:39 KO（右フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2019-12-15	World Cup TNA Fights	ビャチェスラフ・ダトシク	2R KO（左ミドルキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2019-07-28	HEAT 45	イム・ジュンス	2R 2:15 KO（右フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2019-04-19	Bulldog Media Fight Night 2	アドナン・アリック	1R 2:02 KO（左ミドルキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2019-03-02	HEAT 44	楠ジャイロ	2R 2:47 KO（右ローキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2018-10-27	Fight Legend Geneva	ヴォイチェフ・ブリンスキ	1R KO（左ミドルキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2015-08-04	Fight Night Saint-Tropez III	カール・ロバーソン	2分5R終了 判定3-0	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2015-04-25	Final Fight 2	クラウディオ・イストラテ	2R 0:52 KO（左膝蹴り）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2014-05-30	Final Fight - Retour aux sources	ルシアン・ダニレンク	2R 0:48 KO(3ノックダウン : 右ボディフック)	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2013-11-23	La 20ème Nuit des Champion	シンデン・ハマーレイン	2R KO(右ボディフック)	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2013-08-04	Fight Night Saint Tropez	ヴィタリ・オフラメンコ	2R KO(3ノックダウン：右ローキック)	Wikipedia(その他団体)
vitari-ofuramenko	ヴィタリ・オフラメンコ	2013-08-04	Fight Night Saint Tropez	ジェロム・レ・バンナ	2R KO（3ノックダウン：右ローキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2013-06-16	Time Fight 3	ロマン・クレイブル	2R 0:53 KO（左ミドルキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2012-04-28	Le Banner Series Acte 1	アーノルド・オボロトフ	2分5R終了 判定	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2011-12-30	Gladiator's War - Le Banner Tour 1st Fight	アンドレイ・キルサノフ	3R KO(左ミドルキック)	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2011-06-11	8ème Nuit des Sports de Combatbr	ステファン・レコ	5R終了 判定3-0	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2005-04-30	Post Tenebra Cup 2005	オリヴァー・ヴァン・ダム	1R KO（左フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2002-07-06	ISKA Championship Kickboxing	シニサ・アンドリヤセビッチ	4R終了時 TKO（タオル投入）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2000-07-13	ISKA Championship Kickboxing	ショーン・ジョンソン	1R KO（左フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2000-03-17	ISKA Championship Kickboxing	パリス・バシリコス	2R 1:09 KO（右フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	2001-03-04	Double Shock Power	アンドレイ・ズラウコフ	2R TKO（レフェリーストップ）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1999-02-27	LES CHOCS DU MUAY-THAI	ロブ・ファン・エスドンク	1R KO（左フック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1998-09-19	アメリカ・ボクシング興行（ムエタイルール）	エスペディート・ダ・シルバ	1R 0:52 KO（左ハイキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1997-02-01	Le Choc des Champions	モーリス・スミス	5R終了 判定	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1996-06-01	フランス パリ	カーチス・シュースター	5R終了 判定3-0	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1996-01-19	Muaythai Gala in Paris	ウィリー・マルティナ	1R KO（左ローキック）	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1994-12-10	Full Contact Gala	ウィリー・マルティナ	判定	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1992-05-30	Full Contact Gala	Saïd Bechari	1R KO	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1993-06-07	Full-Contact gala in La Locomotive Discothèque	Claude Herman	1R KO	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1993-04-24	Full Contact Gala : France vs The World	Cunningham	2R TKO	Wikipedia(その他団体)
jieromu-re-banna	ジェロム・レ・バンナ	1992-01-19	FFUBADA French Cup	Joly		Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2011-12-17	HEAT20回記念大会	チャオ志村	2R 2:20 TKO	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2011-07-10	かきだみし	RIOT	5R終了 判定0-3	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2008-07-06	SAMURAI Fighting 〜あばれ祭り・2〜	出見世雅之	1R 2:42 KO	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2008-02-29	SMOKER's	本村康博	1R 1:29 TKO（レフェリーストップ：パンチ連打）	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2007-09-30	TRIBELATE vol.14	夜桜弘治	3R終了 判定2-0	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2007-08-05	BREATHNESS MUAY THAI 4	熊谷龍一	3R終了 判定	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2007-06-01	TRIBELATE vol.13	さまぁ〜ず	3R終了 判定2-0	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2006-12-22	MARS 06 -Rapid Fire-	氏原文男	3R終了 判定0-2	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2006-09-10	TRIBELATE vol.11	岩永卓弥	3R終了 判定3-0	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2006-02-11	TRIBELATE vol.9	出貝泰佑	3R終了 判定3-0	Wikipedia(その他団体)
ryou-pegasasu	リョウ・ペガサス	2005-11-13	TRIBELATE vol.8 〜バンゲリングベイ3周年記念イベント〜	坂本光広	2R 1:49 KO（3ダウン：パンチ連打）	Wikipedia(その他団体)
samukawa-naoki	寒川直喜	2005-11-13	TRIBELATE vol.8 〜バンゲリングベイ3周年記念イベント〜	小武悠希	3R終了 判定3-0	Wikipedia(その他団体)
tatsuya	竜也	2024-03-20	ACF 100th	プー・ライオンジム	3R 判定	SHOOT BOXING
tatsuya	竜也	2023-08-27	ACF 90th	ウ・スンボム	KO 1R	SHOOT BOXING
masashi-nakajima	中島将志	2020-02-16	Join Forces-15	勇慎	3R判定	RISE
syuto	愁斗	None	DUEL.26	徹平	判定2-0 (29-28、29-29、30-28)	NJKF
ryuto	龍斗	2024-03-30	GLORY OF HEROES.53	リャン・ホンジエ	3R 判定	RISE
akito-nakashima	中嶋愛樹斗	2026-02-21	BANCHO CUP 3	ジラリー･キャルービー	3R 判定	RISE
jirari-kyarubi	ジラリー・キャルービー	2026-02-21	BANCHO CUP 3	中嶋愛樹斗	3R 判定	RISE
akito-nakashima	中嶋愛樹斗	2025-08-31	Legend vol.2 in AICHI	渡口 燿	3R 判定	RISE
akito-nakashima	中嶋愛樹斗	2025-05-15	ONE Friday Fights 108	リュー・ジュンチャオ	3R 判定	RISE
jo-aizawa	相沢 晟	2026-04-25	NEXUS MANIA 2026 1stROUND	小野祥平	3R 判定	RISE
jo-aizawa	相沢 晟	2026-03-08	STRIKE NEXUS 08	飯田陸斗	3R 判定	RISE
jo-aizawa	相沢 晟	2025-10-30	キックボクシングフェス GOAT	龍太郎	3R 判定	RISE
naoki	直希	2022-09-25	九州プロキックボクシングvol.9	明世流	3R 判定	RISE
doragan-yobanobichi	ドラガン・ヨバノビッチ	2006-11-21	EUROPEAN KICKBOXING CHAMPIONSHIPS	ゴーラン・ラドニッチ	判定2-1	Wikipedia(その他団体)
doragan-yobanobichi	ドラガン・ヨバノビッチ	2006-11-21	EUROPEAN KICKBOXING CHAMPIONSHIPS	Kafiz Bahshaliyev	判定3-0	Wikipedia(その他団体)
goran-radonichi	ゴーラン・ラドニッチ	2006-11-21	EUROPEAN KICKBOXING CHAMPIONSHIPS	ドラガン・ヨバノビッチ	判定1-2	Wikipedia(その他団体)
goran-radonichi	ゴーラン・ラドニッチ	2006-11-21	EUROPEAN KICKBOXING CHAMPIONSHIPS	Sanid Imamovic	判定3-0	Wikipedia(その他団体)
doragan-yobanobichi	ドラガン・ヨバノビッチ	2006-10-15	Namlatili mi Srbe	イゴール・ユルコビッチ	判定0-3	Wikipedia(その他団体)
igoru-yurukobichi	イゴール・ユルコビッチ	2006-10-15	Namlatili mi Srbe	ドラガン・ヨバノビッチ	判定3-0	Wikipedia(その他団体)
iriasu-banisu	イリアス・バニス	2022-09-17	ENFUSION #110	Rida Bellahcen	3R 判定	RISE
iriasu-banisu	イリアス・バニス	2021-10-23	ENFUSION TALENTS #86	Rocco La Rosa	TKO	RISE
iriasu-banisu	イリアス・バニス	2018-05-12	ENFUSION TALENTS #51	Tarik Lyachat	判定	RISE
iriasu-banisu	イリアス・バニス	2017-12-02	ENFUSION TALENTS #45	Joey Danner	判定	RISE
kensei-yamakawa	山川賢誠	2022-07-18	BOUT45	山元剣心	3R 判定	RISE
kensei-yamakawa	山川賢誠	2021-04-18	BOUT42	久保田雄太	1RKO	RISE
kensei-yamakawa	山川賢誠	2019-06-30	BOUT37	泰良拓也	1R KO	RISE
wentz-shuichi	ウエンツ☆修一	2011-09-24	In Syng Production「World Championship Muaythai」	ロミー・アダンザ	5R終了 判定0-3	Wikipedia(その他団体)
wentz-shuichi	ウエンツ☆修一	2010-07-19	REBELS.3	薩摩サザ波	3R終了 判定3-0	Wikipedia(その他団体)
ritorutaiga	Little Tiger	2010-07-19	REBELS.3	渡辺久江	2分5R終了 判定1-1	Wikipedia(その他団体)
umeno-genji	梅野源治	2010-07-19	REBELS.3	裕	5R終了 判定3-0	Wikipedia(その他団体)
wentz-shuichi	ウエンツ☆修一	2010-03-21	REBELS.2	信末小僧	5R終了 判定3-0	Wikipedia(その他団体)
umeno-genji	梅野源治	2010-03-21	REBELS.2	ノラシン・ギャットプラサーンチャイ	5R終了 判定0-3	Wikipedia(その他団体)
wentz-shuichi	ウエンツ☆修一	2007-11-18	全日本キックボクシング連盟「70's 全日本キック中量級最強決定トーナメント 〜開幕戦〜」	寺戸伸近	3R 1:51 KO（左ローキック）	全日本キックボクシング連盟
uematsu-daisuke	上松大輔	2007-11-18	全日本キックボクシング連盟「70's 全日本キック中量級最強決定トーナメント 〜開幕戦〜」	水落洋祐	2R 0:38 TKO（ドクターストップ：額のカット）	全日本キックボクシング連盟
ishige-shinya	石毛慎也	2007-11-18	全日本キックボクシング連盟「70's 全日本キック中量級最強決定トーナメント 〜開幕戦〜」	レイ・スターリン	5R終了 判定0-3	全日本キックボクシング連盟
wentz-shuichi	ウエンツ☆修一	2007-04-08	M-1 フレッシュマンズ in 大森	新井宗和	3R終了 判定3-0	Wikipedia(その他団体)
roeru-manato	ロエル・マナート	2020-02-29	Glory 75: Utrecht	セルゲイ・マスロバエフ	1R 1:48 TKO（コーナーストップ）	GLORY
serugei-adamuchaku	セルゲイ・アダムチャック	2020-02-29	Glory 75: Utrecht	ペットパノムルン・キャットムーカオ	5R 判定	RISE
roeru-manato	ロエル・マナート	2018-12-08	Glory 62: Rotterdam	キリル・コルニロフ	3R終了 判定3-0	GLORY
roeru-manato	ロエル・マナート	2018-09-29	Glory 59: Amsterdam	ダニエル・スカボロー	3R終了 判定3-0	GLORY
roeru-manato	ロエル・マナート	2017-05-03	Rings Fighting Network Amstelveen	ニコ・ペレイラ・ホルタ	3R終了 判定3-0	Wikipedia(その他団体)
roeru-manato	ロエル・マナート	2017-04-08	Road 2 Victory Sokudo	リノール・ラティファイ	2R TKO（ドクターストップ）	Wikipedia(その他団体)
roeru-manato	ロエル・マナート	2017-02-18	Battle Under the Tower	タオフィック・ベンハドゥ	3R終了 判定3-0	Wikipedia(その他団体)
