qid,label_ja,label_en,alt_ja,sherdog_id,tapology_id,birth_year
Q111112651,宇田悠斗,Yūto Uda,,321191,,1997
Q111112674,宮城友一,Yūichi Miyagi,,18888,,1983
Q111112853,山本空良,Sora Yamamoto,,239271,,2000
Q111112950,平田直樹,Naoki Hirata,,381205,,1997
Q111112974,征矢貴,Takaki Soya,,107829,,1994
Q111113006,手塚裕之,Hiroyuki Tetsuka,,122523,,1990
Q111113537,福田龍彌,Ryūya Fukuda,,87763,,1992
Q111113679,西川大和,Yamato Nishikawa,,277109,,2002
Q111113726,近藤大耶,Hiroya Kondo,,262395,,1998
Q111489066,,Namiko Kawabata,,357075,245554-hime,1987
Q111679066,シビサイ頌真,Shoma Shibisai,日本ヘビー級最後の砦,93841,,
Q111719217,原口央,Akira Haraguchi,,337251,,1995
Q111719908,鈴木隼人,Hayato Suzuki,,112221,,1986
Q11189850,AZUMA,Azuma,,31845,,1987
Q11192033,Barbaro44,Barbaro44,富岡義宏,12072,,1979
Q11214259,玉海力剛,Yukio Kawabe,玉海力 剛,10505,,1966
Q11222258,HARI,Hari,張替美佳,5094,,1982
Q112237876,佐々木大,Hiro Sasaki,,337665,,1996
Q112237910,久保健太,Kenta Kubo,,327057,,1982
Q112238050,木下憂朔,Yūsaku Kinoshita,,382723,,2000
Q112238102,関原翔,Shō Sekihara,,308893,,1993
Q112238106,駒杵嵩大,Takahiro Komakine,,259697,,1991
Q112238111,本田良介,Ryōsuke Honda,,251845,,1991
Q112238112,杉山廣平,Kōhei Sugiyama,,192859,,1995
Q112238117,CORO,CORO,,82458,,
Q112238192,関根“シュレック”秀樹,"Hideki ""Shrek"" Sekine",関根秀樹,53587,,1973
Q112238258,青井人,Jin Aoi,,167105,,1997
Q112238430,中澤達也,Tatsuya Nakazawa,,50735,,1979
Q112238666,安谷屋智弘,Tomohiro Adaniya,,36614,,1987
Q112238745,グラント・ボグダノフ,,,385965,,1994
Q112238795,ZENKI,Zenki,,404656,,1993
Q112238808,雑賀“ヤン坊”達也,,,258823,,1990
Q112239204,黒井海成,Kaisei Kuroi,,,,2001
Q112239333,中務修良,Nobuyoshi Nakatsukasa,,282783,,1986
Q11227821,KG心斗,KG Shinto,,30409,,1982
Q11235896,NOZOMI,Nozomi Dai,だいのぞみ,201815,,1990
Q11242377,SACHI (格闘家),Sachi,山本幸子,19949,,1980
Q11252092,URAKEN,URAKEN,宇良健吾,7164,,1981
Q11264118,砂辺光久,Mitsuhisa Sunabe,,2558,,1979
Q11270132,せり,Seri,斎藤せり,10007,,1975
Q112762438,本野美樹,Miki Motono,,317479,208989-miki-motono,1994
Q11300096,グッドマン田中,Goodman Tanaka,,14441,,1979
Q11301795,ゲーリー・ノムライト,Yohei Nomura,,155769,,1980
Q11309232,ジェット・イズミ,Izumi Noguchi,,7590,,1975
Q11309833,ジャックナイフツネオ,Jackknife Tsuneo,,24406,,1982
Q113119396,YA-MAN,YA-MAN,杉山怜,397380,,1996
Q11312418,ストラッサー起一,Kiichi Kunimoto,国本起一,21039,,1981
Q113154354,山北渓人,Keito Yamakita,,364807,,1996
Q11316001,タカ・クノウ,Takanori Kuno,タカクノウ,14535,,1967
Q11323927,ナナチャンチン,Nana Chanchin,市川奈々,7000,,1978
Q11338146,ホワイト森山,Moriyama Howaito,森山大,8746,,1978
Q11341646,マンモス佐々木,Sasaki Manmosu,浪速嘉則|佐々木嘉則,3717,,1974
Q11344676,モンゴルマン,Asashi Saito,ザ・モンゴルマン,49598,,1970
Q11347638,ランボー宏輔,Kosuke Suzuki,,58924,,1984
Q113565685,新井丈,Jo Arai,,177005,,1998
Q113566744,"柴田""MONKEY""有哉","Yūya ""Monkey"" Shibata",,78899,,1992
Q113566837,風我,,,385974,,
Q113566892,原虎徹,Kotetsu Hara,,375229,,1997
Q113567062,中原由貴,Yoshiki Nakahara,,120707,,1992
Q113567140,菊入正行,,,226289,,1995
Q11358881,上山知暁,Tomoaki Ueyama,,30993,,1974
Q11360885,下川雄生,Yūsei Shimokawa,,11727,,1981
Q11361787,不死身夜天慶,Tenkei Fujimiya,,10742,,1980
Q11361974,世IV虎,Yoshiko,,244157,,1993
Q11363133,中原太陽,Taiyō Nakahara,,4784,,1982
Q11365314,中村優作,Yūsaku Nakamura,,58956,,1986
Q11365361,中村勇太,Yūta Nakamura,,10038,,1982
Q11365794,中村浩士,Hiroshi Nakamura,"中村""アイアン""浩士",12076,,1981
Q11367084,中西良行,Yoshiyuki Nakanishi,,24234,,1985
Q11367087,中西裕一,Yūichi Nakanishi,,4594,,1981
Q11369428,久松勇二,Yūji Hisamatsu,,1731,,1971
Q11372955,井上学,Manabu Inoue,,13116,,1978
Q11373036,井上明子,Akiko Inoue,,10008,,1985
Q11373137,井上由美子,Yumiko Inoue,羽柴まゆみ,9608,,1980
Q11379931,伊藤博之,Hiroyuki Ito,,2279,,1976
Q11380061,伊藤崇文,Takafumi Itō,,800,,1972
Q11382234,佐々木恭介 (格闘家),Kyōsuke Sasaki,,3385,,1979
Q11382247,佐々木憂流迦,Ulka Sasaki,佐々木天狗|佐々木佑太,63070,19984-yuta-sasaki-ulka,1989
Q11383484,佐竹雅昭,Masaaki Satake,佐竹まさあき,316,,1965
Q11383721,佐藤光芳,Mitsuyoshi Satō,,1737,,1977
Q11383872,佐藤堅一,Ken'ichi Satō,,4597,,1971
Q11384202,佐藤洋一郎 (格闘家),Yōichirō Satō,,30407,,1985
Q11384975,佐野哲也,Tetsuya Sano,,41738,,1982
Q11388645,児山佳宏,Yoshihiro Koyama,,13391,,1981
Q11388963,入江秀忠,Hidetada Irie,琴入江秀忠|入江大和,6663,,1969
Q11391829,八隅孝平,Kōhei Yasumi,,1285,4575-kohei-yasumi,1978
Q11394503,内藤征弥,Yukiya Naitō,,4737,,1977
Q11395094,冨宅飛駈,Takaku Fuke,富宅飛駈|富宅祐輔|冨宅祐輔|ふけたかく,669,,1969
Q11395119,冨樫健一郎,Ken'ichirō Togashi,富樫健一郎,2231,,1980
Q11399068,加藤友弥,Tomoya Katō,,31191,,1984
Q11399528,加藤誠,Makoto Kato,,1728,,1976
Q11400354,勝村周一朗,Shūichirō Katsumura,,1291,,1976
Q11401948,北村克哉,Katsuya Kitamura,きたむら かつや,394289,,1985
Q11410246,及川千尋,Chihiro Oikawa,,42436,,1987
Q11411276,古木克明,Katsuaki Furuki,,74780,,1980
Q11413174,吉本光志,Kōji Yoshimoto,,17290,,1980
Q11413376,吉永啓之輔,Keinosuke Yoshinaga,,31182,,1983
Q11413769,吉田幸治,Kōji Yoshida,,13343,,1974
Q11413924,吉田正子,Masako Yoshida,,9610,,1983
Q11418012,和田拓也,Takuya Wada,,1295,,1978
Q11418093,和田竜光,Tatsumitsu Wada,,28152,,1988
Q11418111,和田良覚,Ryōgaku Wada,,4080,,1963
Q11418595,唐沢仁義,Jingi Karasawa,,,,1969
Q11423250,土屋大喜,Taiki Tsuchiya,,29150,,1984
Q11427829,堀鉄平,Teppei Hori,,31180,,1976
Q11429179,増山ともえ,,,,,
Q11430022,夏樹☆たいよう,Natsuki Taiyo,水嶋なつみ|夏樹☆ヘッド|夏樹☆qe94,19634,,1984
Q11430443,外岡真徳,Masanori Tonooka,,25438,,1973
Q11430529,外薗晶敏,Akitoshi Hokazono,,3608,,1977
Q11432602,大刀光電右エ門,Den'emon Tachihikari,太刀光修|大刀光修|大刀光,314,,1963
Q11434112,大塚隆史,Takafumi Ōtsuka,,19056,takafumi-otsuka,1986
Q11434365,大室奈緒子,Naoko Ōmuro,,7002,,1976
Q11438201,大石幸史,Koji Oishi,,249,,1977
Q11438240,大石真丈,Masahiro Ōishi,,1200,,1968
Q11439822,大門まい子,Maiko Ōkado,,10010,,1977
Q11441900,大飛翔誠志,Seiji Daihishō,小椋誠志,13369,,1973
Q11443331,天突頑丈,Ganjō Tentsuku,宮坂裕介,7717,,1982
Q11446038,奥田正勝,Masakatsu Okuda,,8108,,1976
Q11451329,安藤晃司,Kōji Andō,,34270,,1985
Q11451382,安藤純,Jun Andō,,16801,,
Q11453156,宮下トモヤ,Tomoya Miyashita,宮下智也,6959,,1981
Q11455072,宮澤元樹,Motoki Miyazawa,宮沢元樹,13678,,1985
Q11456997,富松恵美,Emi Tomimatsu,,19272,19822-emi-tomimatsu,1982
Q11457264,富田里奈,Rina Tomita,,40764,,1984
Q11459799,亜利弥’,Aliya,小山亜矢,7004,,1973
Q11461703,小林歩,Ayumu Kobayashi,,24245,,1980
Q11462068,小森亮介,Ryōsuke Komori,,41766,,1986
Q11462300,小池秀信,Hidenobu Koike,,5850,,1976
Q11463825,小路伸亮,Shinsuke Shōji,,13120,,1979
Q11464138,小野武志,Takeshi Ono,,8306,,1974
Q11465961,山下志功,Shikō Yamashita,,1310,,1973
Q11466757,山口守,Mamoru Yamaguchi,,1175,,1977
Q11467979,山崎剛,Takeshi Yamazaki,,1359,,1977
Q11469277,山本篤,Atsushi Yamamoto,,9634,,1980
Q11469295,山本美憂,Miyū Yamamoto,池田美憂|佐々木美憂|井上美憂,231061,138279-miyu-yamamoto,1974
Q11470265,山田哲也,Tetsuya Yamada,,24901,,1990
Q11470302,山田学,Manabu Yamada,,742,,1969
Q11473013,岡嵜康悦,Kōetsu Okazaki,,10192,,1979
Q11473451,岡田円,Madoka Okada,,13633,,1988
Q11474180,岩倉豪,Tsuyoshi Iwakura,,45669,,1970
Q11474560,岩崎達也,Tatsuya Iwasaki,,,,1969
Q11477897,川原誠也,Seiya Kawahara,,23708,,1988
Q11477938,川口健次,Kenji Kawaguchi,,436,,1968
Q11479061,川畑千秋,Chiaki Ota,,9603,,1977
Q11479325,川那子祐輔,Yūsuke Kawanago,,22908,,1983
Q11479805,巨椋修,Osamu Ogura,,,,1961
Q11480055,市原海樹,Minoki Ichihara,,35,,1968
Q11481212,帯谷信弘,Nobuhiro Obiya,土志田信弘,5793,,1981
Q11481795,幕大輔,Daisuke Maku,,36440,,1983
Q11483432,平直行,Naoyuki Taira,,1525,,1963
Q11486234,庵谷鷹志,Takashi Iotani,庵谷デビルマン鷹史,19595,,1973
Q11487189,弘中邦佳,Kuniyoshi Hironaka,,2575,,1976
Q11490492,徹肌ィ郎,Hadairō Tetsu,徹肌イ郎,9578,,1977
Q11490810,志々目徹,Tōru Shishime,,,,1992
Q11491102,志田幹,Miki Shida,,3659,,1974
Q11492511,悠羽輝,Yuki Niimura,新村優貴,83988,,1982
Q11496213,戸井田カツヤ,Katsuya Toida,戸井田克也|といだ かつや|トイカツ,1272,katsuya-toida,1977
Q11496829,扇久保博正,Hiromasa Ōgikubo,,18883,,1987
Q11497200,才賀紀左衛門,Kizaemon Saiga,,175639,,1989
Q11503948,新美吉太郎,Yoshitarō Niimi,,13390,,1979
Q11504913,日出ノ国太子郎,Taishirō Hidenokuni,太子郎,8796,,1974
Q11511282,早川光由,Mitsuyoshi Hayakawa,,3742,,1975
Q11511909,昇侍,Shoji Maruyama,丸山昌治,18886,,1983
Q11513093,星野勇二,Yūji Hoshino,,1730,,1975
Q11513109,星野大介,Daisuke Hoshino,,23942,,1981
Q11513175,星野育蒔,Ikuma Hoshino,,3735,,1981
Q11518167,木内崇雅,Takamasa Kiuchi,,71317,,1987
Q11518463,木暮聡,Satoru Kogure,,75041,,1986
Q11518991,木村浩一郎,Koichiro Kimura,木村浩一朗|スーパー宇宙パワー,455,,1969
Q11519148,木村響子,Kyōko Kimura,,86296,,1977
Q1151941,長南亮,Ryo Chonan,,1831,,1976
Q11520423,本村康博,Yasuhiro Motomura,,28154,,1983
Q11521006,本間祐輔,Yūsuke Honma,,59966,,1981
Q11521734,杉内由紀,Yuki Sugiuchi,古舘由紀,11993,,1980
Q11522190,杉江大輔,Daisuke Shiraki,杉江アマゾン大輔,1352,,1980
Q11523135,村山暁洋,Akihiro Murayama,,8745,7513-akihiro-murayama,1980
Q11523346,村浜武洋,Takehiro Murahama,村濱武洋|村浜テイクヒーロー|村浜TAKE HERO,1502,,1974
Q11523351,村濱天晴,Takaharu Murahama,村浜天晴,1246,,1972
Q11523421,村田夏南子,Kanako Murata,,219081,129348-kanako-murata,1992
Q11531120,松本晃市郎,Kōichirō Matsumoto,ジョビン,22401,,1986
Q11531235,松本秀彦,Hidehiko Matsumoto,,3653,,1972
Q11531511,松根良太,Ryōta Matsune,,1340,,1982
Q11537417,桑原卓也,Takuya Kuwabara,,1202,,1972
Q11538094,桜木裕司,Yuji Sakuragi,,10749,,1977
Q11538691,梅野源治,Genji Umeno,,467326,,1988
Q11540305,森藤美樹,Miki Morifuji,,14524,,1977
Q11540630,植松直哉,Naoya Uematsu,,1174,,1978
Q11540727,植田豊,Yutaka Ueda,,58004,,1986
Q11543870,橋本友彦,Tomohiko Hashimoto,MAKEHEN,4503,,1977
Q11546228,武田美智子,Michiko Takeda,,11171,,1975
Q11547652,毛利昭彦,Akihiko Mōri,,10044,,1975
Q1154771,桜庭和志,Kazushi Sakuraba,,84,kazushi-sakuraba-the-gracie-hunter,1969
Q11548892,水波綾,Ryō Mizunami,水村綾菜|水村綾,,,1988
Q11552080,池田祥規,Yoshinori Ikeda,,15395,,1973
Q115528950,涌井忍,,,191593,,
Q115529575,上迫博仁,Hiroto Uesako,,91247,,
Q115530066,横山武司,Takeji Yokoyama,,401325,,1996
Q115530136,川名TENCHO雄生,"Yūki ""Tencho"" Kawana",,53706,,
Q11557313,浅野倫久,Michihisa Asano,,13522,,1980
Q11557401,浅野篤司,Atsushi Asano,,14159,,1981
Q11557673,浜崎朱加,Ayaka Hamasaki,,45332,25649-ayaka-hamasaki,1982
Q11559119,海老原まどか,Madoka Ebihara,♂ha@THE♀,19270,,1986
Q11559987,深岬パトラ,Patra Misaki,小澤深岬,40763,,1986
Q11560271,深見智之,Tomoyuki Fukami,,7693,,1978
Q11560791,清水俊一,Shun'ichi Shimizu,,22677,shunichi-shimizu,1985
Q11561682,渋谷修身,Osami Shibuya,,801,,1976
Q11562168,渡辺大介,Daisuke Watanabe,,1050,,1977
Q11565266,滝田J太郎,Jeitarō Takita,,3989,,1973
Q11565961,澤田敦士,Atsushi Sawada,,152807,,1983
Q11566182,濱村健,Ken Hamamura,浜村健,9719,,1983
Q11566305,瀧川リョウ,Ryō Takigawa,瀧川りょう|滝川リョウ|滝川りょう,19104,,1970
Q11566331,瀧本美咲,Misaki Takimoto,滝本美咲,6975,,1980
Q11566959,火若津将軍,Shōgun Kawakatsu,川勝将軍|川勝三朗|かわかつ しょうぐん|かわかつ さぶろう,1251,,1974
Q11569668,片岡亮,Ryō Kataoka,片岡幻亮,,,1973
Q11569782,片岡誠人,Masato Kataoka,,51011,,1977
Q11572078,猿丸ジュンジ,Junji Ito,,23226,,1986
Q11574165,瓜田幸造,Kozo Urita,,10387,,1974
Q11575371,田中半蔵,Hanzō Tanaka,田中宏茂,30643,,1981
Q11575813,田中章仁,Akihito Tanaka,,41747,,1983
Q11577091,田沼良介,Ryōsuke Tanuma,,30046,,1981
Q11577140,田澤和久,Kazuhisa Tazawa,,23563,,1979
Q11577147,田澤聡,Sō Tazawa,,8671,,1982
Q11584352,矢野卓見,Takumi Yano,ヤノタク,2280,,1970
Q11584363,矢野啓太,Keita Yano,,197367,,1988
Q11585301,石原美和子,Miwako Ishihara,,4233,,1970
Q11586348,石川英司,Eiji Ishikawa,,1727,,1979
Q11586411,石川隆彦,Takahiko Ishikawa,,,,1917
Q11586414,石川雄規,Yūki Ishikawa,石川豊彦,3157,,1967
Q11586726,石毛大蔵,Daizō Ishige,,11250,,1980
Q11590947,神酒龍一,Ryūichi Miki,三木龍一,13392,,1983
Q11596478,稲垣克臣,Katsuomi Inagaki,,667,,1969
Q11596724,稲津航,Wataru Inatsu,,15161,,1984
Q11598527,端貴代,Takayo Hashi,,11605,takayo-hashi,1977
Q11598836,竹内出,Izuru Takeuchi,,1258,,1974
Q11599379,竹田誠志,Masashi Takeda,,21212,,1985
Q11603564,篠原光,Hikaru Shinohara,,6971,,1974
Q11606322,組坂幸喜,Kōki Kumisaka,くみさか こうき,,,1965
Q11609117,美木航,Wataru Miki,,3388,,1980
Q11609336,美花,Mika,林美花,17737,,1976
Q11610383,羽賀龍之介,Ryūnosuke Haga,,,,1991
Q11613306,臼田勝美,Katsumi Usuda,,1990,,1970
Q11613309,臼田育男,Ikuo Usuda,,35398,,1980
Q11613575,舞 (格闘家),Maiko Takahashi,,9605,,1973
Q11615524,花澤大介,Daisuke Hanazawa,花澤大介13,7683,,1976
Q11616040,芹澤健市,Ken'ichi Serizawa,,1830,,1969
Q11617095,茂木康子,Yasuko Mogi,,14528,,1969
Q11619137,菅原伊織,Iori Sugawara,,,,1978
Q11619920,菊野克紀,Katsunori Kikuno,,16806,katsunori-kikuno,1981
Q11620755,葉山智昭,Tomoaki Hayama,,446,,1970
Q11622899,藤井陸平,Rikuhei Fujii,,19235,,1984
Q11629450,西良典,Yoshinori Nishi,,472,,1955
Q11632181,謙吾,Kengo,渡部謙吾,1049,,1976
Q11633891,豊永稔,Minoru Toyonaga,,320,,1978
Q11635321,赤井太志朗,Tashirō Akai,西内太志朗,1498,,1980
Q11638783,近藤定男,Sadao Kondō,,28153,,1979
Q11642215,遠藤大翼,Daisuke Endō,,26518,,1982
Q11642369,遠藤雄介,Yūsuke Endō,,7519,,1983
Q11645165,野口悠介,Yūsuke Noguchi,,43716,,1983
Q11645268,野地竜太,Ryūta Noji,,10969,,1978
Q11646330,金井一朗,Ichirō Kanai,,4502,,1982
Q11646595,金原泰義,Yasunori Kanehara,,16529,,1981
Q11648147,釜谷真,Makoto Kamaya,,19343,,1983
Q11648658,鈴木博昭,Hiroaki Suzuki,,392230,,1984
Q11651468,長井満也,Mitsuya Nagai,魔界5号|長井弘和,3352,,1968
Q11651878,長尾浩志,Hiroshi Nagao,ジャイアント・バボ,71288,,1979
Q11653831,長谷川悟史,Satoshi Hasegawa,,883,,1976
Q11653941,長谷川秀彦,Hidehiko Hasegawa,,5417,,1978
Q11655789,関忠則,Tadanori Seki,,54790,,1971
Q11657778,阿部博之,Hiroyuki Abe,,20221,,1977
Q11664622,須田匡昇,Masanori Suda,,440,,1973
Q11667858,馬場勇気,Yūki Baba,,22671,,1987
Q11670000,高木健太,Kenta Takagi,,36173,,1986
Q11670520,高林恭子,Kyōko Takabayashi,,13409,,1981
Q11675053,鳥生将大,Masahiro Toryū,,20516,,1983
Q116752893,,Shohei Yamamoto,,,,
Q11676015,鶴巻伸洋,Nobuhiro Tsurumaki,,1273,,1971
Q11677027,鹿又智成,Tomonari Kanomata,,5792,,1979
Q11678755,黒石高大,Takahiro Kuroishi,,36428,,1986
Q11679146,齋藤裕俊,Hirotoshi Saitō,斉藤裕俊,31881,,1984
Q116936024,春日井“寒天”たけし,,,49771,,1988
Q116936029,江藤公洋,,,139631,,1988
Q116936400,平本丈,Jyo Hiramoto,,422172,,2003
Q116937109,鈴木槙吾,Shingo Suzuki,,36613,,1986
Q116937230,谷山尚未,Naomi Taniyama,,105591,,1984
Q116937325,三上ヘンリー大智,Daichi Henry Mikami,,392951,,1996
Q116937340,五明宏人,Hiroto Gomyō,,404716,,1995
Q117037901,信原空,Sora Nobuhara,勾配ニキ,430071,,
Q1171177,中邑真輔,Shinsuke Nakamura,,6361,,1980
Q117844297,須田萌里,Moeri Suda,,373052,,2004
Q118697071,山本琢也,,,131399,,1994
Q118726934,古林礼名,Rena Kobayashi,,,,1992
Q118748153,亀田一鶴,Ikkaku Kameda,,,,
Q1188451,髙田延彦,Nobuhiko Takada,髙田伸彦|高田延彦|高田伸彦,293,nobuhiko-takada,1962
Q119345539,山本聖悟,,,192997,,1995
Q119517846,渡辺彩華,Ayaka Watanabe,,376966,280986-ayaka-watanabe,1997
Q119929758,高橋雄己,Yūki Takahashi,,382672,,1999
Q119930066,風間敏臣,Toshiomi Kazama,,373059,,1997
Q119930067,木下タケアキ,Takeaki Kinoshita,,329741,,1996
Q119930070,星野豊,Yutaka Hoshino,,128791,,1994
Q119930073,飯野健夫,Tateo Iino,,120699,,1986
Q120402600,高野優樹,Yūki Takano,,167485,,
Q121354627,ノッコン寺田,Nokkon Tereda,寺田幸司,,456394-nokkon-terada,1984
Q121355278,松場貴志,,,129427,,1991
Q121652802,鹿志村仁之介,Jinnosuke Kashimura,,364821,,2001
Q122470716,澤田千優,Chihiro Sawada,沢田千優,383765,,1997
Q122945610,村上彩,Aya Murakami,,373053,265120-aya-murakami,1992
Q123405825,樋口武大,,,46336,,1988
Q123408592,"荒東""怪獣キラー""英貴",Hidetaka Aratō,,342657,,1988
Q124096775,冨澤大智,Daichi Tomizawa,,468530,,1997
Q124096924,YURA,Yura,甲野裕頼,,344239-yura,2003
Q124097324,エスカル御殿,,,,,1970
Q124479932,安井飛馬,,,430430,,2000
Q124479999,芳賀ビラル海,,,403673,,1996
Q124480110,高木凌,,,390300,,1999
Q125324207,重田ホノカ,Honoka Shigeta,,422358,,
Q125481634,小野正之助,Masanosuke Ono,,,571855-masanosuke-ono,2004
Q125949382,ケイト・ロータス,Kate Lotus,,,,1998
Q126005325,井原良太郎,Ryotaro Ihara,路上に花咲く天才喧嘩坊や|いはら りょうたろう|アンパンマンチョコニキ|キノコ,,,1995
Q126005409,,,,400520,,1990
Q126005464,野瀬翔平,Shōhei Nose,,287017,,1997
Q126005530,倉本大悟,,,410628,,1994
Q126005567,力也,,,364823,,1992
Q126005569,RYOGA,RYOGA,,381199,,
Q126005793,高橋遼伍,,,84427,,1989
Q126005809,金田一孝介,Kōsuke Kindaichi,,47762,,1989
Q126005838,秋元強真,,,406648,,2006
Q126006289,ジョリー,,,272953,,1997
Q126934596,,Tatsuya Ando,,174625,76663-tatsuya-ando,1990
Q130725813,宇佐美秀メイソン,Meison Hide Usami,,404657,307522-mason-shu-usami,
Q130726495,野村駿太,Shunta Nomura,,393461,,1997
Q130726734,平松翔,Shō Hiramatsu,,218673,,1994
Q130726879,窪田泰斗,Taito Kubota,,82600,,1989
Q130726907,小崎連,Ren Ozaki,,398391,,2001
Q130726921,後藤丈治,Jōji Gotō,,220099,,1996
Q131010569,赤田功輝,Koki Akada,赤田プレイボイ功輝,461153,,1998
Q131225954,,,,96011,,
Q131353598,太田将吾,,太田　将吾|太田 将吾|オールドルーキー,410090,,1984
Q131758269,,Shudai Harada,,,406574-shudai-harada,2001
Q132431723,芦田和幸,Kazuyuki Ashida,,,,1986
Q132431879,三宅輝砂,Kisa Miyake,,246539,,1999
Q132432372,横内三旺,San'ō Yokouchi,,434731,,2006
Q132432374,酒井リョウ,Ryō Sakai,,88759,,1987
Q132432375,木村柊也,Shūya Kimura,,439389,,2000
Q132432395,飴山聖也,Seiya Ameyama,,422171,,2002
Q132462059,海飛,Kaito,,385960,,1999
Q133271441,渡邉史佳,Fumika Watanabe,,421311,,
Q1336512,須藤元気,Genki Sudo,,1227,genki-sudo-neo-samurai,1978
Q133826011,鮫島るい,Rui Samejima,武村綾華,295585,195354-aya,1992
Q134508312,浦川大将,Hiromasa Urakawa,,,245386-hiromasa-urakawa,1997
Q134992743,池内紀子,Noriko Ikeuchi,,,285998-noriko-ikeuchi,1999
Q135687245,,Shigetoshi Kotari,,,261371-shigetoshi-kotari,1996
Q135689416,ソルト,,,398309,,1990
Q135689441,,,成田柊,382139,,
Q135690020,エフェヴィガ雄志,Yuji Ephoeviga,,403678,,1999
Q136298515,北本隼輔,Shunsuke Kitamoto,,,503236-shunsuke-kitamoto,2000
Q136338017,大井すず,,,472119,,2005
Q136692912,中村京一郎,Keiichirō Nakamura,,403670,,
Q136692992,ゴングマン,Gongman,,,,
Q1376088,小川直也,Naoya Ogawa,,307,naoya-ogawa,1968
Q138642071,ジェリオ・サン・ピエール,Jerio San Pierre,,,,2002
Q138808941,福元健史,Takeshi Fukumoto,ふくもとたけし|Takeshi Fukumoto,Takeshi-Fukumoto-407981,503043-takeshi-fukumoto,1976
Q1395975,獣神サンダー・ライガー,Jushin Liger,獣神ライガー|獣神サンダーライガー|山田惠一|山田恵一,5973,,1964
Q15395513,田中路教,Michinori Tanaka,,71942,,1990
